region,year,real_gdp,employment,average_hours_worked,total_hours,population,output_per_employed_person,output_per_hour_worked,per_capita_income
Central and Eastern Europe and Central Asia,1993,213110.35714285713,6987.571428571428,1931.5,37896.333333333336,16761.39285714286,24969.964285714286,20.833333333333332,9675.464285714286
Central and Eastern Europe and Central Asia,1994,195066.67857142858,6821.392857142857,1938.6666666666667,36499.333333333336,16782.85714285714,24868.5,20.666666666666668,9393.214285714286
Central and Eastern Europe and Central Asia,1995,194287.2142857143,6825.892857142857,1891.923076923077,19691.384615384617,16803.39285714286,25557.178571428572,19.923076923076923,9643
Central and Eastern Europe and Central Asia,1996,194967.89285714287,6811.535714285715,1890.6923076923076,19654.76923076923,16822.071428571428,25572.89285714286,20.384615384615383,9963.964285714286
Central and Eastern Europe and Central Asia,1997,199993.57142857142,6726.178571428572,1895.7692307692307,19522,16838.464285714286,26205.75,21.153846153846153,10346.07142857143
Central and Eastern Europe and Central Asia,1998,199120.0357142857,6639.714285714285,1896.3076923076924,19246.384615384617,16854.964285714286,27174.14285714286,21.692307692307693,10664.42857142857
Central and Eastern Europe and Central Asia,1999,203900.67857142858,6657.714285714285,1902.5384615384614,20075,16867.928571428572,27920.928571428572,21.923076923076923,10848.32142857143
Central and Eastern Europe and Central Asia,2000,218214.0357142857,6711.678571428572,1907.3846153846155,20354.846153846152,16870,29488.321428571428,23.307692307692307,11432.785714285714
Central and Eastern Europe and Central Asia,2001,225040.0357142857,6717.428571428572,1897.076923076923,20243.923076923078,16866.785714285714,30658.678571428572,24.307692307692307,11946
Central and Eastern Europe and Central Asia,2002,236230.07142857142,6723.428571428572,1888.3846153846155,20283,16868.25,32345.428571428572,25.53846153846154,12595.142857142857
Central and Eastern Europe and Central Asia,2003,250958.57142857142,6729.571428571428,1877.923076923077,20232.46153846154,16868.85714285714,34088.92857142857,26.846153846153847,13366.75
Central and Eastern Europe and Central Asia,2004,270363.89285714284,6799.964285714285,1891.4615384615386,20449.69230769231,16876.5,36466,28.23076923076923,14302.892857142857
Central and Eastern Europe and Central Asia,2005,287865.85714285716,6898.142857142857,1977.857142857143,14050.25,16889.10714285714,38593.03571428572,19.821428571428573,15303.17857142857
Central and Eastern Europe and Central Asia,2006,310123.89285714284,6999.464285714285,1974.142857142857,14213.67857142857,16906.928571428572,40898.5,21.178571428571427,16522.285714285714
Central and Eastern Europe and Central Asia,2007,333410.25,7141.321428571428,1972.5714285714287,14429.714285714286,16928.714285714286,43107.71428571428,22.357142857142858,17810
Central and Eastern Europe and Central Asia,2008,347473.78571428574,7229.535714285715,1980.5,14626.607142857143,16961.035714285714,43918.67857142857,22.678571428571427,18462.25
Central and Eastern Europe and Central Asia,2009,328303.35714285716,7121.535714285715,1948.392857142857,14309.785714285714,17023.464285714286,42707.25,22.464285714285715,17408.714285714286
Central and Eastern Europe and Central Asia,2010,342616.5714285714,7158.892857142857,1951.142857142857,14421.17857142857,17078.25,44650.57142857143,23.428571428571427,17891.285714285714
Central and Eastern Europe and Central Asia,2011,360678.71428571426,7251.714285714285,1941.5714285714287,14545.25,17124.60714285714,46254.21428571428,24.25,18660
Central and Eastern Europe and Central Asia,2012,371494.1785714286,7326.714285714285,1945.6785714285713,14656.964285714286,17181.821428571428,46803.53571428572,24.571428571428573,18988.85714285714
Central and Eastern Europe and Central Asia,2013,383164.25,7363.821428571428,1943.3214285714287,14695.92857142857,17241.714285714286,47831.21428571428,25.142857142857142,19468.64285714286
Central and Eastern Europe and Central Asia,2014,391137.10714285716,7389.392857142857,1933.1785714285713,14718.035714285714,17374.035714285714,48414.607142857145,25.571428571428573,19968.85714285714
Central and Eastern Europe and Central Asia,2015,395860.03571428574,7411.035714285715,1926.9285714285713,14690.5,17421.60714285714,49224.17857142857,26.071428571428573,20487.10714285714
Central and Eastern Europe and Central Asia,2016,403490.96428571426,7457.392857142857,1929.25,14739.535714285714,17477.35714285714,49966.107142857145,26.5,21016.10714285714
Central and Eastern Europe and Central Asia,2017,419984.21428571426,7528.785714285715,1925.5,14830.642857142857,17530.535714285714,51236.28571428572,27.357142857142858,21921.178571428572
